object_id,preferred_name,object_type,identity_test,geometry,time_behavior,coverage,mobility,external_anchor,guide,status
OBJ001,water mass,material_body,property_signature,volume,seasonal,partial,evolves,CF/NVS,01,established
OBJ002,mode water,material_body,property_signature,volume,seasonal,partial,evolves,CF/NVS,01,established
OBJ003,overflow water,material_body,property_signature,volume,days_months,partial,advects,CF/NVS,01,established
OBJ004,river plume,material_body,source_tracer,volume,days_months,partial,advects,NVS,10,established
OBJ005,hydrothermal plume,material_body,source_tracer,volume,days_months,sparse,advects,NVS,10,established
OBJ006,mixed layer,layer_interface,vertical_structure,volume,seasonal,exhaustive,evolves,CF/GOOS,01,established
OBJ007,thermocline,layer_interface,vertical_gradient,surface,seasonal,partial,evolves,CF/GOOS,01,established
OBJ008,halocline,layer_interface,vertical_gradient,surface,seasonal,partial,evolves,CF/GOOS,01,established
OBJ009,pycnocline,layer_interface,vertical_gradient,surface,seasonal,partial,evolves,CF/GOOS,01,established
OBJ010,isopycnal layer,layer_interface,property_signature,volume,days_months,partial,evolves,CF/NVS,01,established
OBJ011,sea surface,layer_interface,geographic_convention,surface,instantaneous,exhaustive,evolves,CF/IHO,01,established
OBJ012,front,gradient_boundary,horizontal_gradient,curve,days_months,partial,evolves,CF/NVS,02,established
OBJ013,density front,gradient_boundary,horizontal_gradient,surface,days_months,partial,evolves,CF/NVS,02,established
OBJ014,shelf-break front,gradient_boundary,horizontal_gradient,curve,seasonal,partial,evolves,NVS,02,established
OBJ015,ice-edge front,gradient_boundary,horizontal_gradient,curve,days_months,partial,evolves,GOOS/NVS,11,established
OBJ016,plume edge,gradient_boundary,horizontal_gradient,surface,days_months,partial,evolves,NVS,10,established
OBJ017,current,flow_structure,velocity_pattern,pathway,days_months,partial,advects,CF/NVS,02,established
OBJ018,jet,flow_structure,velocity_pattern,pathway,days_months,partial,evolves,CF/NVS,02,established
OBJ019,boundary current,flow_structure,velocity_pattern,pathway,seasonal,partial,evolves,CF/NVS,02,established
OBJ020,gyre,flow_structure,velocity_pattern,volume,climatic_reference,partial,evolves,NVS,02,established
OBJ021,eddy,flow_structure,velocity_pattern,volume,days_months,sparse,advects,CF/NVS,03,established
OBJ022,ring,flow_structure,velocity_pattern,volume,days_months,sparse,advects,NVS,03,established
OBJ023,recirculation,flow_structure,velocity_pattern,volume,days_months,partial,evolves,NVS,03,established
OBJ024,filament,flow_structure,horizontal_gradient,surface,days_months,sparse,advects,NVS,03,established
OBJ025,upwelling,flow_structure,vertical_velocity,volume,days_months,partial,evolves,CF/GOOS,10,established
OBJ026,downwelling,flow_structure,vertical_velocity,volume,days_months,partial,evolves,CF/GOOS,10,established
OBJ027,coherent set,connectivity_structure,trajectory_coherence,volume,user_declared,partial,advects,literature,03,established
OBJ028,transport barrier,connectivity_structure,trajectory_coherence,surface,user_declared,partial,evolves,literature,03,established
OBJ029,attracting LCS,connectivity_structure,trajectory_coherence,surface,user_declared,sparse,evolves,literature,03,established
OBJ030,repelling LCS,connectivity_structure,trajectory_coherence,surface,user_declared,sparse,evolves,literature,03,established
